"Name","Pos.","Weight","Height","Body.Fat","Vertical","Wingspan","Standing.Reach","T.Q..Spring","L.A.T.","Season","NSeasons"
"Adam Morrison","SF",198,79.75,6.8,30.5,82,105,3.37,11.46,2006,3
"Yemi Nicholson","PF-C",258,81.5,17.2,26,88.25,107,3.65,12.57,2006,0
"David Noel","SF-SG",223,78,6.1,38.5,81.5,100,3.07,10.54,2006,1
"Steve Novak","SF",216,81.25,8.1,31,81.5,103,3.37,11.11,2006,11
"Patrick O'Bryant","C",249,84,10,30,89.75,113,3.63,12.68,2006,4
"Danilo Pinnock","PG-SG",204,76,4.6,35.5,79.5,100.5,3.08,11.91,2006,0
"Chris Quinn","PG-SG",175,73.5,5.9,37,77,94,3.25,11.25,2006,6
"Allan Ray","SG",204,74.25,9.8,35.5,80.5,99.5,3.2,11.01,2006,1
"JJ Redick","SG",190,76.75,7,33,75.25,97.5,3.29,10.94,2006,0
"Antywane Robinson","SF-PF",217,79.5,6.9,32.5,86.5,105.5,3.4,11.73,2006,0
"Brandon Roy","SG-SF",207,78.25,7.6,40.5,80,101,3.27,11.13,2006,6
"Blake Schilb","PG-SG",209,78.25,11.3,34.5,80.75,102,3.43,11.25,2006,0
"Mouhamed Sene","C",237,84,6.6,31,92.5,113,3.38,12.52,2006,3
"Cedric Simmons","PF-C",223,81.5,5.6,35,88.25,108.5,3.31,11.05,2006,3
"Marcus Slaughter","PF-SF",220,80,8.5,34,83.5,104.5,3.4,11.56,2006,0
"Craig Smith","PF",259,78.5,12.2,29.5,81.5,103.5,3.4,11.59,2006,6
"Steven Smith","SF-PF",238,81.25,7.8,34.5,84.5,104,3.4,12.08,2006,1
"Michael Southhall","C",241,82.25,7.9,37,88.25,107.5,3.51,12.29,2006,0
"Frans Steyn","C",280,86.5,12.8,29.5,86.25,109,3.38,11.67,2006,0
"Curtis Stinson","SG",208,74.75,6,31.5,77,97.5,3.27,10.95,2006,0
"Tyrus Thomas","PF-SF",217,80.25,5.6,39.5,87,108,3.2,11.36,2006,8
"Joah Tucker","SF-SG",224,77.25,7,34,78.5,99.5,3.31,11.58,2006,0
"Ian Vouyoukas","C-PF",267,81.5,14.8,28,84.75,108.5,3.72,13.7,2006,0
"Darius Washington","PG",195,73,9.7,37.5,76,96,3.26,10.71,2006,1
"CJ Watson","PG",171,73.75,5.2,34,78,96,3.15,11.61,2006,0
"Eric Williams","C-PF",285,80.75,13,29,88.25,106.5,3.56,11.71,2006,8
"Justin Williams","C-PF",211,80.75,6.5,31.5,85.5,109,3.31,11.9,2006,2
"Marcus Williams","PG",215,75.25,12.4,28,79,97.5,3.4,11.3,2006,4
"Shawne Williams","SF-PF",227,80.75,8,31,87,104,3.3,10.69,2006,7
"Shelden Williams","PF-C",258,80.5,11.4,33.5,88.25,104,3.59,11.53,2006,6
"Curtis Withers","PF-SF",227,78.5,5,36.5,82,101,3.1,11.54,2006,0
"Mohamed Abukar","SF",210,81.75,8.9,35,81,103,3.37,11.78,2007,0
"Mario Boggan","PF",240,79,9.2,26.5,86,107,3.45,12.18,2007,0
"Craig Bradshaw","PF",240,81.75,12.1,28,85.5,106.5,3.54,11.88,2007,0
"Corey Brewer","SF-SG",185,79.75,4.2,36.5,80.25,103,3.22,11.69,2007,11
"Aaron Brooks","PG",161,71.75,2.7,39.5,76,94,3.2,10.57,2007,10
"Bobby Brown","PG",170,73.75,6.6,41,76,95.5,3.25,11.27,2007,4
"Russell Carter","SG",221,76.5,6,38.5,80.5,97.5,3.29,11.61,2007,0
"Coleman Collins","PF",236,81.75,6.2,35,86,107,0,11.47,2007,0
"Mike Conley","PG",175,72.75,4.2,40.5,77.75,94.5,3.09,11.63,2007,11
"Daequan Cook","SG",203,77.75,7,34.5,80.25,101.5,3.22,11.12,2007,6
"Ryvon Covile","C-PF",250,80.5,8,30.5,85.25,107.5,3.37,12.52,2007,0
"Javaris Crittenton","PG",194,76.75,4.5,38,77.5,98,3.32,11.6,2007,2
"Jermareo Davidson","PF",230,83,6.9,30,88,109.5,3.53,12.63,2007,2
"Justin Doellman","PF",205,81.5,7,0,80.75,105,0,0,2007,0
"Zabian Dowdell","PG",191,75,5.1,33.5,82,100,3.29,11.13,2007,1
"Jared Dudley","SF",219,79.25,7.1,32,79,102,3.45,11.32,2007,11
"Kevin Durant","SF-PF",215,82.25,6.6,33.5,88.75,110,3.45,12.33,2007,11
"Rashaun Freeman","PF",244,80,11.5,32,83.5,104,3.41,11.43,2007,0
"Aaron Gray","C",271,85.75,10.8,32.5,87.25,108.5,3.7,12.07,2007,7
"Caleb Green","PF",238,80,10.9,36,83.75,103,3.46,11.72,2007,0
"Jeff Green","SF",228,81.5,3.7,38,85.25,103,3.34,12,2007,10
"Taurean Green","PG",173,72.75,4.6,32.5,74.25,96,3.26,11.3,2007,1
"Spencer Hawes","PF",244,84.75,13,29,84.5,110,3.51,11.88,2007,10
"Brandon Heath","PG",181,75.75,9,36,79,94,3.28,11.39,2007,0
"Herbert Hill","C",232,81.75,5.6,34,86.25,108.5,3.39,12.31,2007,0
"Al Horford","PF",246,81.75,9.1,35.5,84.75,107,3.37,12.15,2007,11
"Quinton Hosley","SF-SG",215,79.75,5.7,34,83.25,105,3.32,12.47,2007,0
"James Hughes","C",209,82.75,3.5,33,87,111,3.37,13.31,2007,0
"Jeremy Hunt","SG",198,76.75,5.2,33,80.25,101.5,3.29,12.11,2007,0
"Ekene Ibekwe","PF",208,81,3.2,39,90,104,3.28,11,2007,0
"Dominic James","PG",175,71.75,4.8,38.5,74,93,3.11,10.94,2007,0
"Trey Johnson","SG",216,77.75,5.4,35,77,98,3.31,11.78,2007,3
"Rashad Jones-Jennings","PF",235,79.5,5.9,30,84,105.5,3.29,12.18,2007,0
"Jared Jordan","PG",183,73.75,7,28.5,72,94,3.39,11.02,2007,0
"Coby Karl","SG-PG",204,76.75,5.4,34.5,83,99.5,3.41,11.57,2007,2
"Antanas Kavaliauskas","PF",237,82.5,7.7,30,82.5,106.5,3.42,11.19,2007,0
"Carl Landry","PF",248,80.5,7.5,36.5,83,102.5,3.29,11.35,2007,9
"Stephane Lasme","PF",213,79,4.9,36,86,107,3.22,11.73,2007,1
"Acie Law","PG",186,75.5,5.6,34,78.5,98,3.22,11,2007,4
"Marko Lekic","C",267,82.5,11.4,30.5,85,108.5,3.43,11.96,2007,0
"Ron Lewis","SG",194,76.5,4.5,38,78.5,99,3.22,11.59,2007,0
"Cartier Martin","SF",218,78.5,5.6,29.5,82,103.5,3.43,12.1,2007,7
"Dominic McGuire","SF",220,80.25,4.7,34.5,82.5,104,3.25,10.95,2007,6
"Josh McRoberts","PF",240,82,13.7,31.5,85,106.5,3.47,11.7,2007,11
"Sammy Mejia","SG",218,79,8.3,31.5,83,105,3.49,11.87,2007,0
"Brad Newley","SG",201,78.5,8,31.5,80,102.5,3.29,11.77,2007,0
"Demetris Nichols","SF",211,79.5,6.2,32.5,84.25,105,3.38,10.39,2007,2
"Joakim Noah","PF",223,84,4.8,37.5,85.25,106.5,3.47,11.79,2007,11
"Greg Oden","C",257,84,7.8,34,88.25,112,3.27,11.67,2007,3
"Ivan Radenovic","PF",226,82.75,9.8,28,83.75,106,3.6,11.61,2007,0
"JR Reynolds","PG",188,74.75,8.2,34.5,75.25,95,3.24,11.69,2007,0
"Chris Richard","PF",252,80.75,7.5,30.5,88.5,110.5,3.29,11.39,2007,2
"Dustin Salisbery","SG",208,76.75,6.6,38,80,100.5,3.12,11.07,2007,0
"Blake Schilb","SG",214,79,10,33.5,81,102.5,3.36,11.63,2007,0
"Renaldas Seibutis","SG",185,77.75,6.1,32.5,80.75,101,3.39,11.33,2007,0
"Ramon Sessions","PG",185,75.75,6.2,33.5,76.25,97.5,3.27,11.65,2007,11
"Mustafa Shakur","PG",185,76.5,4.1,35,77.5,99,3.27,11.82,2007,2
"Jason Smith","PF",233,83.5,7.5,37.5,82.75,106,3.29,10.96,2007,10
"DJ Strawberry","SG",199,77,4.5,35,78.5,101,3.14,10.87,2007,0
"Rodney Stuckey","SG-PG",207,76.5,6.1,35,79.25,100.5,3.11,11.34,2007,10
"Curtis Sumpter","SF",227,79.75,5.3,32.5,81.5,104,3.22,11.3,2007,0
"Yue Sun","SF",212,80.75,5.1,34,81,105,3.45,10.68,2007,0
"Jamaal Tatum","PG",168,72.75,5,33,74.5,93.5,3.22,11.51,2007,0
"Reyshawn Terry","SF",222,79.5,8.9,37.5,82,103.5,3.26,11.76,2007,0
"Al Thornton","SF",221,79,5.8,41,85,104,3.16,11.96,2007,4
"Anthony Tolliver","PF",242,80.5,5.7,30,86.5,107.5,3.29,11.49,2007,10
"Ali Traore","C-PF",249,81.75,12.1,29,88,108.5,3.52,12.16,2007,0
"Kyle Visser","C",242,83.5,10.2,29,83,108,3.39,12.6,2007,0
"Darryl Watkins","C",241,82.25,6.9,31,87,110,3.56,11.65,2007,2
"Major Wingate","C",242,82.75,6.7,30.5,88,109,3.47,12.14,2007,0
"DaShaun Wood","PG",167,71.5,5.4,34.5,72.75,92,3.23,11.4,2007,0
"Brandan Wright","PF",200,82,5.8,35.5,87.75,108.5,3.31,11.76,2007,10
"Julian Wright","SF-PF",211,80.5,6.1,33.5,86.25,108,3.36,11.48,2007,4
"Avis Wyatt","PF",212,81.5,3.3,32,85,107,3.23,11.46,2007,0
"Jianlian Yi","",0,0,0,0,0,0,0,0,2007,0
"Nick Young","SG-SF",206,78.75,6.8,40.5,84,100.5,3.25,11,2007,11
"Thaddeus Young","SF",210,79.5,4.9,37,83.5,106,3.19,11.06,2007,11
"Joe Alexander","SF-PF",220,80.25,5.8,38.5,83.5,106,2.99,11.33,2008,2
"Darrell Arthur","PF",216,80.5,7.3,30,82.75,107,3.14,12.18,2008,9
"D.J. Augustin","PG",171.5,71.5,8.1,35,75.5,94.5,3.07,11.27,2008,10
"Jerryd Bayless","PG-SG",204,75,4.7,38,75.5,97,3.07,11.26,2008,10
"Michael Beasley","PF-SF",239,80.25,7.7,35,84.25,107,3.24,11.06,2008,10
"Ramel Bradley","PG-SG",184,74.25,5.7,29.5,77,98,3.24,10.68,2008,0
"Tyrone Brazelton","PG",166,71,8.1,34,73.75,94,3.25,11.59,2008,0
"Takais Brown","PF",252,80.5,9.2,31,82,106,3.25,12.47,2008,0
"Keith Brumbaugh","SF-PF",190,80.75,4,27,79.25,104.5,3.28,11.65,2008,0
"Stanley Burrell","PG",201,74.5,5.6,34.5,78.25,97.5,3.19,11.19,2008,0
"Brian Butch","C-PF",229.6,83,10.8,26.5,83.25,108,3.52,11.87,2008,0
"Jamar Butler","PG",182,73.5,6,0,76.75,97,0,0,2008,0
"Pat Calathes","SF-PF",204,81.75,7.3,0,81.75,106,0,0,2008,0
"Joe Crawford","SG",213,76,7.6,36,77.75,99.5,3.22,11.67,2008,1
"Chris Daniels","C-PF",256,81.5,16.1,28.5,84.5,109,3.56,12.72,2008,0
"Joey Dorsey","PF-C",265,79.25,9,33,85.75,107,3.2,11.84,2008,4
"Marcus Dove","SF-PF",208,79.5,5.3,33.5,83.5,105,3.26,11.59,2008,0
"Josh Duncan","PF",230,81,5.4,32,83.5,104.5,3.26,12.47,2008,0
"Frank Elegar","PF",210,80.75,4.5,37.5,87.25,106,3.17,11.86,2008,0
"Patrick Ewing Jr.","SF-PF",224,79.25,9.4,42,84.25,97.5,3.43,11.77,2008,0
"Gary Forbes","SG",220.5,77.75,6.5,33.5,83.25,104.5,3.25,11.45,2008,2
"Shan Foster","SG",194.5,77.25,6.3,33,83.5,103.5,3.24,12.3,2008,0
"J.R. Giddens","SG",208,76.75,5.4,0,83.25,103,0,0,2008,2
"James Gist","PF",220,80.5,4.8,35,88,107.5,3.14,11.37,2008,0
"Vladimir Golubovic","C",258,84.25,6.9,27,86.5,111.5,3.33,12.4,2008,0
"Eric Gordon","SG",222,75.25,8.2,40,81,99,3.01,10.81,2008,10
"Kentrell Gransberry","C",290,79.75,17.4,27.5,82.25,106,3.32,12.16,2008,0
"Donte Greene","SF-PF",221,81,7.6,31.5,82,108,3.2,11.21,2008,4
"Malik Hairston","SG",204,77.25,6.9,38,81,103.5,3.08,11.33,2008,2
"DeVon Hardin","C-PF",235,82.75,5.8,32,87,109.5,3.33,11.49,2008,0
"Richard Hendrix","PF",250,80.75,9.2,28,87,108,3.27,10.62,2008,0
"George Hill","PG",181,74.5,3,37.5,81,97.5,3.07,12.2,2008,10
"Kyle Hines","SF-PF",234,77.25,3.6,33,85.25,104.5,3.4,12.17,2008,0
"Jiri Hubalek","C-PF",226,83,8.8,26,82.75,109,3.54,12.26,2008,0
"Lester Hudson","PG",196,73,3.4,36,80.75,98.5,3.16,11.15,2008,4
"Othello Hunter","PF-SF",220,79.5,6.4,34.5,87,109.5,3.18,11.51,2008,2
"Darnell Jackson","PF",240.5,79.75,12.5,31,83.25,106.5,3.26,11.75,2008,3
"Shawn James","PF",217,81,9.2,0,89,111,0,0,2008,0
"Davon Jefferson","SF",213,78.5,12,32,81.5,105,3.36,12.02,2008,0
"Joseph Jones","PF",240,80.5,12.2,31,84.25,107,3.33,11.61,2008,0
"DeAndre Jordan","C",250,83,7.5,30.5,90,113.5,3.27,12.3,2008,10
"Sasha Kaun","C-PF",247,82.75,9.6,32,88,110,3.2,12.06,2008,1
"Marcelus Kemp","SG",221,76.25,9,30,80.5,103.5,3.39,11.79,2008,0
"Maarty Leunen","SF",222,80.5,8.9,34.5,80,102.5,3.36,11.57,2008,0
"Longar Longar","C",212.5,82,10.6,0,85.25,109.5,0,0,2008,0
"Brook Lopez","C",258,84.5,6.3,30.5,89.5,113,3.57,12.77,2008,10
"Kevin Love","PF",255,81.5,12.9,35,83.25,106,3.22,11.17,2008,10
"Aleks Maric","C",273,82.75,10.1,28,85,109.5,3.35,11.76,2008,0
"O.J. Mayo","SG-PG",200,76.25,6.3,41,78,99.5,3.14,11.04,2008,8
"James Mays","PF",227,79.75,8.8,35,85.75,105,3.19,11.23,2008,0
"Luc Mbah a Moute","SF",221,79.5,7,38.5,86.5,103.5,3.17,11.71,2008,10
"JaVale McGee","C-PF",241,84,5.3,32.5,90,114.5,3.25,12.75,2008,10
"Drew Neitzel","PG",175.5,72.75,6.2,32,74.5,95,3.2,11.19,2008,0
"DeMarcus Nelson","PG-SG",198,74.25,4.5,38.5,82,98.5,3.13,10.54,2008,1
"David Padgett","C-PF",239.5,83.5,9,28,85,109.5,3.45,12.45,2008,0
"Jeremy Pargo","PG",208,73.5,7.6,37,77,96,3.07,10.65,2008,2
"Trent Plaisted","PF",240,82.25,11,35.5,82.5,105.5,3.17,11.32,2008,0
"Quan Prowell","SF-PF",225.5,79.75,6.5,36,82.5,103.5,3.14,11.79,2008,0
"Shaun Pruitt","C-PF",242.2,81,13.8,32.5,85,107.5,3.4,11.3,2008,0
"Anthony Randolph","PF-SF",197,82.25,4.7,35,87,109,3.26,11.86,2008,6
"Charles Rhodes","PF",244,80.25,10.7,33.5,83.25,107.5,3.13,11.51,2008,0
"John Riek","C",237,84,11,0,92.75,0,0,0,2008,0
"Brian Roberts","PG",173,73.25,3.6,36.5,73.25,95,3.05,10.65,2008,5
"Russell Robinson","PG",196,73.5,7.4,31.5,80,100.5,3.15,11.3,2008,0
"Richard Roby","SG-SF",203,77.5,9.2,0,81.75,104,0,0,2008,0
"Derrick Rose","PG",196,74.5,4.6,40,80,98.5,3.05,11.69,2008,9
"Sean Singletary","PG",183.8,72,4.2,0,76.5,95,0,0,2008,1
"Ronald Steele","PG",183.5,73.5,8.1,29.5,76.25,97.5,3.26,11.08,2008,0
"Bryce Taylor","SG",210,76.25,8.3,41,81,99.5,3.19,11.08,2008,0
"Mike Taylor","SG-PG",166.2,74,3.8,39,79.25,98,3.08,10.98,2008,1
"Mark Tyndale","SG-SF",217,75.5,6.7,33.5,83,103.5,3.14,12.52,2008,0
"Robert Vaden","SG",199,76.5,6.2,29.5,80,101,3.4,11.97,2008,0
"Deron Washington","SF",198.5,78.25,7.2,40,81,102.5,3.09,11.03,2008,0
"Sonny Weems","SG-SF",193,77.5,4.4,36.5,82,104,2.96,10.58,2008,4
"Russell Westbrook","PG",192,75.5,4.8,36.5,79.75,100,3.08,10.98,2008,10
"Reggie Williams","SG",199,76,5.3,36.5,81.25,103,3.07,11.32,2008,7
"Jeff Adrien","PF",236.2,78.5,7.9,31.5,86,107.5,3.32,11.34,2009,5
"Jeff Ayres","PF",239.6,82,5.5,35,85,107,3.14,11.98,2009,6
"Rodrigue Beaubois","PG",182.4,74.25,7.9,39,81.75,100,3.15,10.49,2009,4
"DeJuan Blair","PF",276.6,78.5,12,33,86,106.5,3.45,11.5,2009,7
"Derrick Brown","SF-PF",224.6,80.5,8.6,35.5,86.5,107.5,3.13,11.26,2009,3
"Chase Budinger","SF-SG",206.4,79,10,38.5,79,101,3.24,11.08,2009,7
"DeMarre Carroll","PF-SF",207.2,79.75,6.3,0,82,105,0,0,2009,9
"Omri Casspi","SF",211.2,81.25,8.6,32.5,81.25,106.5,3.28,11.15,2009,9
"Dionte Christmas","SG",210.8,77.5,7.1,33.5,81,102.5,3.21,10.83,2009,1
"Earl Clark","SF-PF",228.4,82.25,5.2,33,86.5,109.5,3.35,11.17,2009,6
"Darren Collison","PG",166.2,73.5,5.7,33.5,75,96.5,3.1,10.45,2009,9
"Dante Cunningham","PF",227.4,80.25,4.8,35,83,106.5,3.26,11.18,2009,9
"Stephen Curry","PG-SG",181,75.25,5.7,35.5,75.5,97,3.28,11.07,2009,9
"Austin Daye","SF-PF",191.8,82.75,5.5,28,86.75,110,3.55,12.11,2009,6
"DeMar DeRozan","SG-SF",211.2,78.5,4.9,38.5,81,102.5,3.31,11.88,2009,9
"Toney Douglas","PG",183.4,74,5.2,32.5,78,97.5,3.03,10.63,2009,8
"Wayne Ellington","SG",202.4,77.25,5.5,38,78.5,100,3.2,11.14,2009,9
"Tyreke Evans","PG-SG",220.6,77.25,7.1,34,83.25,104,3.17,11.81,2009,9
"Jonny Flynn","PG",195.6,72.75,6.3,40,76,95.5,3.23,10.86,2009,3
"Taj Gibson","PF",214.4,81.75,6.6,30,88,109,3.41,11.56,2009,9
"Danny Green","SG-SF",208,78.5,5.6,33,82,103,3.3,11.3,2009,9
"Blake Griffin","PF",248.4,82,8.2,35.5,83.25,105,3.28,10.95,2009,8
"Tyler Hansbrough","PF",234.2,81.5,8.5,34,83.5,106,3.27,11.12,2009,7
"James Harden","SG",222,77.25,10.1,37,82.75,103.5,3.13,11.1,2009,9
"Gerald Henderson","SG-SF",214.6,77,4.4,35,82.25,102.5,3.14,11.17,2009,8
"Josh Heytvelt","PF-C",246.2,83,10.8,34,85.25,108,3.38,11.67,2009,0
"Jordan Hill","PF-C",232.4,82.25,6,35,85.5,108,3.3,12.23,2009,8
"Jrue Holiday","PG-SG",199,76.25,6.3,34,79,100.5,3.21,10.64,2009,9
"Joe Ingles","SF",209.2,80.25,10.1,31,82.25,105,3.3,10.66,2009,4
"James Johnson","SF-PF",257.2,79.75,12,35,84.75,105.5,3.23,11.21,2009,9
"Ty Lawson","PG",196.6,72.5,6.6,36.5,72.75,94.5,3.12,10.98,2009,8
"Eric Maynor","PG",163.6,75.25,5.4,31.5,74.5,97,3.19,10.78,2009,5
"Jack McClinton","SG-PG",185.2,72.75,6.2,36.5,74.5,96,3.21,10.44,2009,0
"Jerel McNeal","SG",190.4,75,5.4,36.5,79.25,99.5,3.25,10.61,2009,1
"Jodie Meeks","SG",211.4,76,8,37,76.5,98,3.1,10.96,2009,9
"Patty Mills","PG",175.4,72.5,6.9,33,74,95,3.1,10.87,2009,9
"Byron Mullens","C",258.2,85.25,8.5,32.5,85.5,111,3.45,11.1,2009,5
"A.J. Price","PG",192.8,74,12.4,31,75.75,97,3.22,10.99,2009,6
"Tyler Smith","SF",212,78,7,33.5,81.75,104.5,3.24,10.69,2009,0
"DaJuan Summers","SF",243,80.5,6.6,34.5,84.75,106.5,3.17,10.94,2009,4
"Jermaine Taylor","SG",207.4,76.75,5.8,37.5,80.75,101,3.32,11.54,2009,2
"Jeff Teague","PG",175.2,73.5,4.5,36.5,79.5,98.5,3.18,11.05,2009,9
"Hasheem Thabeet","C",267.2,86.5,6.7,0,90.25,113,0,0,2009,5
"Marcus Thornton","SG",194.4,75.75,4.8,33,77,99,3.28,10.73,2009,8
"Terrence Williams","SG-SF",213.2,78.25,5.1,37,81,103.5,3.18,11.15,2009,4
"Sam Young","SF-SG",222.8,78.75,4.9,33,82.75,105.5,3.45,11.47,2009,4
"Solomon Alabi","C",237.4,84.75,5,26,89,113,3.68,13.2,2010,2
"Cole Aldrich","C",236,83.25,8.5,28,88.75,111.5,3.35,11.48,2010,8
"Al-Farouq Aminu","SF",216,80.5,8.2,33.5,87.25,108.5,3.3,11.29,2010,8
"James Anderson","SF",207.6,77.75,7.9,35.5,80.5,104,3.19,11.86,2010,5
"Luke Babbitt","SF-PF",217.8,80.75,5.6,37.5,83.25,104.5,3.4,10.98,2010,8
"Eric Bledsoe","PG",191.6,73.5,5.6,0,79.5,98,0,0,2010,8
"Trevor Booker","PF",235.8,79.5,7.3,36,81.75,106,3.1,11.15,2010,8
"Craig Brackins","PF-SF",229,81.75,7.9,35,84,109,3.39,11.65,2010,2
"Avery Bradley","SG-PG",180.4,75.25,4,37.5,79.25,98.5,3.14,11.47,2010,8
"Derrick Caracter","PF",280,81.5,12.8,30.5,84.25,107.5,3.61,12.78,2010,1
"Sherron Collins","PG",217.2,71.75,9.2,33,74.5,94,3.24,12.31,2010,1
"DeMarcus Cousins","C",291.8,82.75,16.4,27.5,89.75,113,3.55,11.4,2010,8
"Jordan Crawford","SG",198.4,76.5,4.9,34.5,79,101,3.37,11.03,2010,6
"Ed Davis","PF",226.6,81.75,10,36,84,108,3.21,11.7,2010,8
"Devin Ebanks","SF",207.8,80.25,7.9,32,84.25,107.5,3.44,11.69,2010,3
"Derrick Favors","PF",245.2,82.25,6.5,35.5,88,110,3.25,11.74,2010,8
